      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
   5.23290  0.365E-05 -0.196E-11  0.691      0.309      0.212E-11  0.320      0.198E-15  0.450E-07  0.338E-07
   5.25698  0.363E-05 -0.207E-11  0.642      0.358      0.211E-11  0.314      0.226E-15  0.449E-07  0.337E-07
   5.28116  0.361E-05 -0.210E-11  0.593      0.407      0.211E-11  0.307      0.211E-15  0.447E-07  0.335E-07
   5.30543  0.359E-05 -0.216E-11  0.545      0.455      0.211E-11  0.299      0.155E-15  0.446E-07  0.333E-07
   5.32977  0.357E-05 -0.218E-11  0.497      0.503      0.211E-11  0.292      0.707E-16  0.445E-07  0.333E-07
   5.35416  0.354E-05 -0.218E-11  0.450      0.550      0.211E-11  0.284     -0.255E-16  0.444E-07  0.336E-07
   5.37859  0.351E-05 -0.226E-11  0.405      0.595      0.212E-11  0.275     -0.115E-15  0.442E-07  0.340E-07
   5.40305  0.348E-05 -0.236E-11  0.362      0.638      0.213E-11  0.266     -0.182E-15  0.440E-07  0.344E-07
   5.42751  0.345E-05 -0.237E-11  0.322      0.678      0.215E-11  0.257     -0.217E-15  0.439E-07  0.347E-07
   5.45197  0.342E-05 -0.240E-11  0.283      0.717      0.217E-11  0.248     -0.219E-15  0.437E-07  0.347E-07
   5.47642  0.339E-05 -0.243E-11  0.248      0.752      0.219E-11  0.239     -0.191E-15  0.435E-07  0.346E-07
   5.50084  0.335E-05 -0.251E-11  0.215      0.785      0.222E-11  0.229     -0.142E-15  0.434E-07  0.346E-07
   5.52522  0.332E-05 -0.251E-11  0.184      0.816      0.224E-11  0.220     -0.800E-16  0.432E-07  0.347E-07
   5.54955  0.328E-05 -0.256E-11  0.157      0.843      0.227E-11  0.210     -0.138E-16  0.431E-07  0.350E-07
   5.57382  0.324E-05 -0.258E-11  0.132      0.868      0.231E-11  0.200      0.504E-16  0.429E-07  0.356E-07
   5.59803  0.321E-05 -0.257E-11  0.110      0.890      0.234E-11  0.190      0.108E-15  0.428E-07  0.362E-07
